WEAPON_SOURCE_COUNTRY,WEAPON_DEPLOYMENT_LOCATION,Data.Source,Location.Cordinates.Latitude,Location.Cordinates.Longitude,Data.Magnitude.Body,Data.Magnitude.Surface,Location.Cordinates.Depth,Data.Yeild.Lower,Data.Yeild.Upper,data_Purpose,Data.Name,Data.Type,Date.Day,Date.Month,Date_Year
USA,Nts,DOE,37,-116,0,0,-0.35,19,19,wr,Dog,Airdrop,1,5,1952
USA,Nts,DOE,37,-116,0,0,-0.1,12,12,wr,Easy,Tower,7,5,1952
USA,Nts,DOE,37,-116,0,0,-0.1,11,11,wr,Fox,Tower,25,5,1952
USA,Nts,DOE,37,-116,0,0,-0.1,15,15,wr,George,Tower,1,6,1952
USA,Nts,DOE,37,-116,0,0,-0.1,14,14,wr,How,Tower,5,6,1952
UK,Monteb Austr,DOE,-20.4,115.57,0,0,-0.001,25,25,We,Hurricane,Ship,3,10,1952
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,10400,10400,wr,Mike,Surface,31,10,1952
USA,Enewetak,DOE,11.3,162.15,0,0,-0.5,500,500,wr,King,Airdrop,15,11,1952
USA,Nts,DOE,37,-116,0,0,-0.1,16,16,wr,Annie,Tower,17,3,1953
USA,Nts,DOE,37,-116,0,0,-0.1,24,24,wr,Nancy,Tower,24,3,1953
USA,Nts,DOE,37,-116,0,0,-0.1,0.2,0.2,wr,Ruth,Tower,31,3,1953
USA,Nts,DOE,37,-116,0,0,-2,11,11,wr,Dixie,Airdrop,6,4,1953
USA,Nts,DOE,37,-116,0,0,-0.03,0.2,0.2,wr,Ray,Tower,11,4,1953
USA,Nts,DOE,37,-116,0,0,-0.1,23,23,wr,Badger,Tower,18,4,1953
USA,Nts,DOE,37,-116,0,0,-0.1,43,43,wr,Simon,Tower,25,4,1953
USA,Nts,DOE,37,-116,0,0,-0.8,27,27,We,Encore,Airdrop,8,5,1953
USA,Nts,DOE,37,-116,0,0,-0.1,32,32,wr,Harry,Tower,19,5,1953
USA,Nts,DOE,37,-116,0,0,-0.2,15,15,wr,Grable,Atmosph,25,5,1953
USA,Nts,DOE,37,-116,0,0,-0.4,61,61,wr,Climax,Airdrop,4,6,1953
USSR,Semi Kazakh,DOE,50,78,0,0,0,400,400,wr,Nan,Surface,12,8,1953
USSR,Semi Kazakh,DOE,50,78,0,0,0,28,28,wr,Nan,Atmosph,23,8,1953
USSR,Semi Kazakh,MTM,50,78,0,0,0,5.8,5.8,wr,Nan,Atmosph,3,9,1953
USSR,Semi Kazakh,MTM,50,78,0,0,0,1.6,1.6,wr,Nan,Atmosph,8,9,1953
USSR,Semi Kazakh,MTM,50,78,0,0,0,4.9,4.9,wr,Nan,Atmosph,10,9,1953
UK,Emu Austr,DOE,-28.7,132.35,0,0,0,10,10,wr,Totem:1,Tower,14,10,1953
UK,Emu Austr,DOE,-28.7,132.35,0,0,0,8,8,wr,Totem:2,Tower,26,10,1953
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,15000,15000,wr,Bravo,Surface,28,2,1954
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,11000,11000,wr,Romeo,Barge,26,3,1954
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,110,110,wr,Koon,Surface,6,4,1954
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,6900,6900,wr,Union,Barge,25,4,1954
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,13500,13500,wr,Yankee,Barge,4,5,1954
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,1690,1690,wr,Nectar,Barge,13,5,1954
USSR,Orenbg Russ,DOE,52,55,0,0,0,40,40,Me,Nan,Atmosph,14,9,1954
USSR,Semi Kazakh,MTM,50,78,0,0,0,0.2,0.2,wr,Nan,Atmosph,29,9,1954
USSR,Semi Kazakh,MTM,50,78,0,0,0,0.03,0.03,wr,Nan,Atmosph,1,10,1954
USSR,Semi Kazakh,MTM,50,78,0,0,0,2,2,wr,Nan,Atmosph,3,10,1954
USSR,Semi Kazakh,MTM,50,78,0,0,0,4,4,wr,Nan,Surface,5,10,1954
USSR,Semi Kazakh,MTM,50,78,0,0,0,0.8,0.8,wr,Nan,Atmosph,8,10,1954
USSR,Semi Kazakh,MTM,50,78,0,0,0,0,0.001,wr,Nan,Surface,19,10,1954
USSR,Semi Kazakh,MTM,50,78,0,0,0,62,62,wr,Nan,Atmosph,23,10,1954
USSR,Semi Kazakh,DOE,50,78,0,0,0,2.8,2.8,wr,Nan,Atmosph,26,10,1954
USSR,Semi Kazakh,MTM,50,78,0,0,0,10,10,wr,Nan,Surface,30,10,1954
USA,Nts,DOE,37,-116,0,0,-0.25,1,1,We,Wasp,Airdrop,18,2,1955
USA,Nts,DOE,37,-116,0,0,-0.1,2,2,wr,Moth,Tower,22,2,1955
USA,Nts,DOE,37,-116,0,0,-0.1,7,7,wr,Tesla,Tower,1,3,1955
USA,Nts,DOE,37,-116,0,0,-0.2,43,43,wr,Turk,Tower,7,3,1955
USA,Nts,DOE,37,-116,0,0,-0.1,4,4,wr,Hornet,Tower,12,3,1955
USA,Nts,DOE,37,-116,0,0,-0.2,8,8,wr,Bee,Tower,22,3,1955
USA,Nts,DOE,37,-116,0,0,0.02,1,1,We,Ess,Crater,23,3,1955
USA,Nts,DOE,37,-116,0,0,-0.2,14,14,wr,Apple :1,Tower,29,3,1955
USA,Nts,DOE,37,-116,0,0,-0.25,3,3,wr,Wasp Prime,Airdrop,29,3,1955
USA,Nts,DOE,37,-116,0,0,-12,3,3,We,Ha,Airdrop,6,4,1955
USA,Nts,DOE,37,-116,0,0,-0.1,2,2,wr,Post,Tower,9,4,1955
USA,Nts,DOE,37,-116,0,0,-0.001,22,22,We,Met,Tower,15,4,1955
USA,Nts,DOE,37,-116,0,0,-0.2,29,29,wr,Apple:2,Tower,5,5,1955
USA,Offuswcoast,DOE,29,-126,0,0,0,30,30,We,Wigwam,Uw,14,5,1955
USA,Nts,DOE,37,-116,0,0,-0.2,28,28,wr,Zucchini,Tower,15,5,1955
USSR,Semi Kazakh,MTM,50,78,0,0,0,1.3,1.3,wr,Nan,Surface,29,7,1955
USSR,Semi Kazakh,DOE,50,78,0,0,0,12,12,wr,Nan,Surface,2,8,1955
USSR,Semi Kazakh,MTM,50,78,0,0,0,1.2,1.2,wr,Nan,Surface,5,8,1955
USSR,Nz Russ,DOE,73,55,0,0,0,3.5,3.5,We,Nan,Uw,21,9,1955
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Project 56:1,Surface,1,11,1955
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Project 56:2,Surface,3,11,1955
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Project 56:3,Surface,5,11,1955
USSR,Semi Kazakh,DOE,50,78,0,0,0,250,250,wr,Nan,Atmosph,6,11,1955
USSR,Semi Kazakh,DOE,50,78,0,0,0,1600,1600,wr,Nan,Atmosph,22,11,1955
USA,Nts,DOE,37,-116,0,0,-0.001,0,20,Se,Project 56:4,Surface,18,1,1956
USSR,Kazakh,MTM,46,61,0,0,0,0.3,0.3,We,Nan,Surface,2,2,1956
USSR,Semi Kazakh,DOE,50,78,0,0,0,14,14,wr,Nan,Surface,16,3,1956
USSR,Semi Kazakh,DOE,50,78,0,0,0,5.5,5.5,wr,Nan,Surface,25,3,1956
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,40,40,wr,Lacrosse,Surface,4,5,1956
UK,Monteb Austr,DOE,-20.23,115.55,0,0,0,15,15,wr,Mosaic:Gl,Tower,16,5,1956
USA,Bikini,DOE,11.35,165.2,0,0,-1.5,3800,3800,wr,Cherokee,Airdrop,20,5,1956
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,3500,3500,wr,Zuni,Surface,27,5,1956
USA,Enewetak,DOE,11.3,162.15,0,0,0,0.19,0.19,wr,Yuma,Tower,27,5,1956
USA,Enewetak,DOE,11.3,162.15,0,0,-0.1,14.9,14.9,wr,Erie,Tower,30,5,1956
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,13.7,13.7,wr,Seminole,Surface,6,6,1956
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,365,365,wr,Flathead,Barge,11,6,1956
USA,Enewetak,DOE,11.3,162.15,0,0,-0.1,8,8,wr,Blackfoot,Tower,11,6,1956
USA,Enewetak,DOE,11.3,162.15,0,0,0,1.49,1.49,wr,Kickapoo,Tower,13,6,1956
USA,Enewetak,DOE,11.3,162.15,0,0,-0.2,1.7,1.7,wr,Osage,Airdrop,16,6,1956
UK,Monteb Austr,DOE,-20.4,115.53,0,0,0,60,60,wr,Mosaic:G2,Tower,19,6,1956
USA,Enewetak,DOE,11.3,162.15,0,0,0,15.2,15.2,wr,Inca,Tower,21,6,1956
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,1100,1100,wr,Dakota,Barge,25,6,1956
USA,Enewetak,DOE,11.3,162.15,0,0,0,360,360,wr,Mohawk,Tower,2,7,1956
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,1850,1850,wr,Apache,Barge,8,7,1956
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,4500,4500,wr,Navajo,Barge,10,7,1956
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,5000,5000,wr,Tewa,Barge,20,7,1956
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,250,250,wr,Huron,Barge,21,7,1956
USSR,Semi Kazakh,DOE,50,78,0,0,0,27,27,wr,Nan,Surface,24,8,1956
USSR,Semi Kazakh,DOE,50,78,0,0,0,900,900,wr,Nan,Atmosph,30,8,1956
USSR,Semi Kazakh,DOE,50,78,0,0,0,51,51,wr,Nan,Atmosph,2,9,1956
USSR,Semi Kazakh,DOE,50,78,0,0,0,38,38,wr,Nan,Atmosph,10,9,1956
UK,Marali Austr,DOE,-30,131,0,0,0,15,15,wr,Buffalo: Rl,Tower,27,9,1956
UK,Marali Austr,DOE,-30,131,0,0,-0.001,1.5,1.5,We,Buffalo:R2,Surface,4,10,1956
UK,Marali Austr,DOE,-30,131,0,0,0,3,3,wr,Buffalo: R3,Airdrop,11,10,1956
UK,Marali Austr,DOE,-30,131,0,0,0,10,10,wr,Buffalo:R4,Tower,22,10,1956
USSR,Semi Kazakh,DOE,50,78,0,0,0,900,900,wr,Nan,Atmosph,17,11,1956
USSR,Semi Kazakh,MTM,50,78,0,0,0,40,40,wr,Nan,Atmosph,14,12,1956
USSR,Mtr Russ,DOE,48,46,0,0,0,10,10,We,Nan,Atmosph,19,1,1957
USSR,Semi Kazakh,DOE,50,78,0,0,0,19,19,wr,Nan,Atmosph,8,3,1957
USSR,Semi Kazakh,DOE,50,78,0,0,0,42,42,wr,Nan,Atmosph,3,4,1957
USSR,Semi Kazakh,DOE,50,78,0,0,0,57,57,wr,Nan,Atmosph,6,4,1957
USSR,Semi Kazakh,DOE,50,78,0,0,0,680,680,wr,Nan,Atmosph,10,4,1957
USSR,Semi Kazakh,DOE,50,78,0,0,0,22,22,wr,Nan,Atmosph,12,4,1957
USSR,Semi Kazakh,DOE,50,78,0,0,0,320,320,wr,Nan,Atmosph,16,4,1957
USA,Mellis Nv,DOE,37,-115,0,0,0,0,0,Se,Project 57:1,Surface,24,4,1957
UK,Malden Is,DOE,-4,-155,0,0,0,300,300,wr,Grapple:1,Airdrop,15,5,1957
USA,Nts,DOE,37,-116,0,0,-0.2,12,12,wr,Boltzmann,Tower,28,5,1957
UK,Malden Is,DOE,-4,-155,0,0,0,720,720,wr,Grapple:2,Airdrop,31,5,1957
USA,Nts,DOE,37,-116,0,0,-0.1,0.14,0.14,wr,Franklin,Tower,2,6,1957
USA,Nts,DOE,37,-116,0,0,-0.2,0.0005,0.0005,wr,Lassen,Balloon,5,6,1957
USA,Nts,DOE,37,-116,0,0,-0.2,10,10,wr,Wilson,Balloon,18,6,1957
UK,Malden Is,DOE,-4,-155,0,0,0,200,200,wr,Grapple:3,Airdrop,19,6,1957
USA,Nts,DOE,37,-116,0,0,-0.2,37,37,wr,Priscilla,Balloon,24,6,1957
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Coulomb-A,Surface,1,7,1957
USA,Nts,DOE,37,-116,0,0,-0.5,74,74,wr,Hood,Balloon,5,7,1957
USA,Nts,DOE,37,-116,0,0,-0.2,17,17,wr,Diablo,Tower,15,7,1957
USA,Nts,DOE,37,-116,0,0,-6.8,2,2,We,John,Rocket,19,7,1957
USA,Nts,DOE,37,-116,0,0,-0.2,10,10,wr,Kepler,Tower,24,7,1957
USA,Nts,DOE,37,-116,0,0,-0.2,9.7,9.7,wr,Owens,Balloon,25,7,1957
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Pascal-A,Shaft,26,7,1957
USA,Nts,DOE,37,-116,0,0,-0.5,19,19,wr,Stokes,Balloon,7,8,1957
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Saturn,Tunnel,10,8,1957
USA,Nts,DOE,37,-116,0,0,-0.2,17,17,wr,Shasta,Tower,18,8,1957
USSR,Semi Kazakh,DOE,50,78,0,0,0,520,520,wr,Nan,Atmosph,22,8,1957
USA,Nts,DOE,37,-116,0,0,-0.5,11,11,wr,Doppler,Balloon,23,8,1957
USSR,Semi Kazakh,MTM,50,78,0,0,0,0.1,0.1,Se,Nan,Atmosph,26,8,1957
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Pascal-B,Shaft,27,8,1957
USA,Nts,DOE,37,-116,0,0,-0.25,4.7,4.7,wr,Franklin Prime,Balloon,30,8,1957
USA,Nts,DOE,37,-116,0,0,-0.25,44,44,wr,Smoky,Tower,31,8,1957
USA,Nts,DOE,37,-116,0,0,-0.2,11,11,wr,Galileo,Tower,2,9,1957
USA,Nts,DOE,37,-116,0,0,-0.2,0.2,0.2,wr,Wheeler,Balloon,6,9,1957
USA,Nts,DOE,37,-116,0,0,-0.001,0.3,0.3,Se,Coulomb-B,Surface,6,9,1957
USSR,N2 Russ,DOE,73,55,0,0,0,32,32,Fms,Nan,Surface,7,9,1957
USA,Nts,DOE,37,-116,0,0,-0.25,1,1,wr,Laplace,Balloon,8,9,1957
USSR,Semi Kazakh,MTM,50,78,0,0,0,5.9,5.9,wr,Nan,Atmosph,13,9,1957
UK,Marali Austr,DOE,-30,131,0,0,0,1,1,wr,Antler:1,Tower,14,9,1957
USA,Nts,DOE,37,-116,0,0,-0.2,11,11,wr,Fizeau,Tower,14,9,1957
USA,Nts,DOE,37,-116,0,0,-0.5,12,12,wr,Newton,Balloon,16,9,1957
USA,Nts,DOE,37,-116,4.1,0,0.3,1.7,1.7,wr,Rainier,Tunnel,19,9,1957
USA,Nts,DOE,37,-116,0,0,-0.2,19,19,wr,Whitney,Tower,23,9,1957
USSR,Nz Russ,DOE,73,55,0,0,0,1600,1600,wr,Nan,Airdrop,24,9,1957
UK,Marali Austr,DOE,-30,131,0,0,0,6,6,wr,Antler:2,Tower,25,9,1957
USSR,Semi Kazakh,MTM,50,78,0,0,0,13,13,wr,Nan,Atmosph,26,9,1957
USA,Nts,DOE,37,-116,0,0,-0.5,12,12,wr,Charleston,Balloon,28,9,1957
USSR,Nz Russ,DOE,73,55,0,0,0,2900,2900,wr,Nan,Atmosph,6,10,1957
USA,Nts,DOE,37,-116,0,0,-0.2,8,8,wr,Morgan,Balloon,7,10,1957
UK,Marali Austr,DOE,-30,131,0,0,0,25,25,wr,Antler:3,Balloon,9,10,1957
USSR,Nz Russ,DOE,73,55,0,0,0,10,10,We,Nan,Uw,10,10,1957
UK,Christmas Is,DOE,2,-157,0,0,0,1800,1800,wr,Grapple X,Airdrop,8,11,1957
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Pascal-C,Shaft,6,12,1957
USA,Nts,DOE,37,-116,0,0,0,0.5,0.5,Se,Coulomb-C,Surface,9,12,1957
USSR,Semi Kazakh,DOE,50,78,0,0,0,12,12,wr,Nan,Atmosph,28,12,1957
USSR,Semi Kazakh,MTM,50,78,0,0,0,1.3,1.3,wr,Nan,Atmosph,4,1,1958
USSR,Semi Kazakh,MTM,50,78,0,0,0,0.5,0.5,wr,Nan,Atmosph,17,1,1958
USA,Nts,DOE,37,-116,0,0,0,0,0.001,Se,Venus,Tunnel,22,2,1958
USSR,Nz Russ,DOE,73,55,0,0,0,860,860,wr,Nan,Atmosph,23,2,1958
USSR,Nz Russ,DOE,73,55,0,0,0,250,250,wr,Nan,Atmosph,27,2,1958
USSR,Nz Russ,DOE,73,55,0,0,0,1500,1500,wr,Nan,Atmosph,27,2,1958
USSR,Semi Kazakh,MTM,50,78,0,0,0,1.2,1.2,wr,Nan,Atmosph,13,3,1958
USSR,Nz Russ,DOE,73,55,0,0,0,40,40,Fms,Nan,Atmosph,14,3,1958
USSR,Semi Kazakh,DOE,50,78,0,0,0,35,35,wr,Nan,Atmosph,14,3,1958
USA,Nts,DOE,37,-116,0,0,0,0,0.001,Se,Uranus,Tunnel,14,3,1958
USSR,Semi Kazakh,DOE,50,78,0,0,0,14,14,wr,Nan,Atmosph,15,3,1958
USSR,Semi Kazakh,MTM,50,78,0,0,0,0.16,0.16,Fms,Nan,Atmosph,18,3,1958
USSR,Semi Kazakh,DOE,50,78,0,0,0,12,12,wr,Nan,Atmosph,20,3,1958
USSR,Nz Russ,DOE,73,55,0,0,0,650,650,wr,Nan,Atmosph,21,3,1958
USSR,Semi Kazakh,DOE,50,78,0,0,0,18,18,wr,Nan,Atmosph,22,3,1958
USA,Pacific,DOE,12.617,163.017,0,0,-28,1.7,1.7,We,Yucca,Balloon,28,4,1958
UK,Christmas Is,DOE,2,-157,0,0,0,3000,3000,wr,Grapple Y,Airdrop,28,4,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,18,18,wr,Cactus,Surface,5,5,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,1360,1360,wr,Fir,Barge,11,5,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,81,81,wr,Butternut,Barge,11,5,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,1370,1370,wr,Koa,Surface,12,5,1958
USA,Enewetak,DOE,11.3,162.15,0,0,0.2,9,9,We,Wahoo,Uw,16,5,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,5.9,5.9,wr,Holly,Barge,20,5,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,25.1,25.1,wr,Nutmeg,Barge,21,5,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,330,330,wr,Yellow Wood,Barge,26,5,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,57,57,wr,Magnolia,Barge,26,5,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,11.6,11.6,wr,Tobacco,Barge,30,5,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,92,92,wr,Sycamore,Barge,31,5,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,15,15,wr,Rose,Barge,2,6,1958
USA,Enewetak,DOE,11.3,162.15,0,0,0.05,8,8,We,Umbrella,Uw,8,6,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,213,213,wr,Maple,Barge,10,6,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,319,319,wr,Aspen,Barge,14,6,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,1450,1450,wr,Walnut,Barge,14,6,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,11,11,wr,Linden,Barge,18,6,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,412,412,wr,Redwood,Barge,27,6,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,880,880,wr,Elder,Barge,27,6,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,8900,8900,wr,Oak,Barge,28,6,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,14,14,wr,Hickory,Barge,29,6,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,5.2,5.2,wr,Sequoia,Barge,1,7,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,220,220,wr,Cedar,Barge,2,7,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,397,397,wr,Dogwood,Barge,5,7,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,9300,9300,wr,Poplar,Barge,12,7,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,0,0,Se,Scaevola,Barge,14,7,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,255,255,wr,Pisonia,Barge,17,7,1958
USA,Bikini,DOE,11.35,165.2,0,0,-0.001,65,65,wr,Juniper,Barge,22,7,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,202,202,wr,Olive,Barge,22,7,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,2000,2000,wr,Pine,Barge,26,7,1958
USA,Johnston Is,DOE,16.45,-169.32,0,0,-85,3800,3800,We,Teak,Rocket,1,8,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,0,0,wr,Quince,Surface,6,8,1958
USA,Johnston Is,DOE,16.45,-169.32,0,0,-45,3800,3800,We,Orange,Rocket,12,8,1958
USA,Enewetak,DOE,11.3,162.15,0,0,-0.001,0.02,0.02,wr,Fig,Surface,18,8,1958
UK,Christmas Is,DOE,2,-157,0,0,0,24,24,wr,Grapple Z,Balloon,22,8,1958
USA,S. Atlantic,DOE,-38.5,-11.5,0,0,-160,1,2,We,Argus:I,Rocket,27,8,1958
USA,S.Atlantic,DOE,-49.5,-8.2,0,0,-160,1,2,We,Argus:Ii,Rocket,30,8,1958
UK,Christmas Is,DOE,2,-157,0,0,0,1000,1000,wr,Grapple,Airdrop,2,9,1958
USA,S.Atlantic,DOE,-48.5,-9.7,0,0,-160,1,2,We,Argus:Iii,Rocket,6,9,1958
UK,Christmas Is,DOE,2,-157,0,0,0,800,800,wr,Grapple Z,Airdrop,11,9,1958
USA,Nts,DOE,37,-116,0,0,0,0.038,0.038,Sb,Otero,Shaft,12,9,1958
USA,Nts,DOE,37,-116,0,0,0,0.015,0.015,Se,Bernalillo,Shaft,17,9,1958
USA,Nts,DOE,37,-116,0,0,-0.2,0.083,0.083,wr,Eddy,Balloon,19,9,1958
USA,Nts,DOE,37,-116,0,0,0,0.0015,0.0015,Sb,Luna,Shaft,21,9,1958
UK,Christmas Is,DOE,2,-157,0,0,0,25,25,wr,Grapple Z,Balloon,23,9,1958
USA,Nts,DOE,37,-116,0,0,0,0,0,Se,Mercury,Tunnel,23,9,1958
USA,Nts,DOE,37,-116,0,0,0,0.002,0.002,Sb,Valencia,Shaft,26,9,1958
USA,Nts,DOE,37,-116,0,0,0,0.013,0.013,Sb,Mars,Tunnel,28,9,1958
USA,Nts,DOE,37,-116,0,0,-0.5,2,2,wr,Mora,Balloon,29,9,1958
USSR,Nz Russ,DOE,73,55,0,0,0,1200,1200,wr,Nan,Atmosph,30,9,1958
USSR,Nz Russ,DOE,73,55,0,0,0,900,900,wr,Nan,Atmosph,30,9,1958
USSR,Nz Russ,DOE,73,55,0,0,0,290,290,wr,Nan,Atmosph,2,10,1958
USSR,Nz Russ,DOE,73,55,0,0,0,40,40,Fms,Nan,Atmosph,2,10,1958
USSR,Nz Russ,MTM,73,55,0,0,0,9,9,wr,Nan,Atmosph,4,10,1958
USSR,Nz Russ,DOE,73,55,0,0,0,15,15,wr,Nan,Atmosph,5,10,1958
USA,Nts,DOE,37,-116,0,0,0,0.077,0.077,Se,Hidalgo,Balloon,5,10,1958
USA,Nts,DOE,37,-116,0,0,0,0.0055,0.0055,Se,Colfax,Shaft,5,10,1958
USSR,Nz Russ,MTM,73,55,0,0,0,5.5,5.5,wr,Nan,Atmosph,6,10,1958
USA,Nts,DOE,37,-116,2.6,0,0.1,0.072,0.072,wr,Tamalpais,Tunnel,8,10,1958
USSR,Nz Russ,DOE,73,55,0,0,0,68,68,wr,Nan,Atmosph,10,10,1958
USA,Nts,DOE,37,-116,0,0,-0.03,0.079,0.079,wr,Quay,Tower,10,10,1958
USSR,Nz Russ,DOE,73,55,0,0,0,1450,1450,wr,Nan,Atmosph,12,10,1958
USA,Nts,DOE,37,-116,0,0,-0.5,1.4,1.4,wr,Lea,Balloon,13,10,1958
USA,Nts,DOE,37,-116,0,0,0,0.115,0.115,Se,Neptune,Tunnel,14,10,1958
